# This file contains a set of game items.
# You must set 256 different items.
# ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Price;GraphicsId;ColorId;Quality;BonusId;AbilityIds;Weapon;Armlet;Helmet;Armor;Accessory;Item;Gem;Usable;Order;Zidane;Vivi;Garnet;Steiner;Freya;Quina;Eiko;Amarant;Cinna;Marcus;Blank;Beatrix;
# UInt16;UInt8;UInt8;UInt8;UInt8;UInt8[];UInt8;Bit;Bit;Bit;Bit;Bit;Bit;Bit;UInt8;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;
# ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2320;19;2;116;94;249, 208, 0;0;0;0;1;0;0;0;0;200;0;0;0;1;1;0;0;0;0;0;0;1;# 181 - Plate Mail
2950;19;3;118;95;207, 0, 0;0;0;0;1;0;0;0;0;201;0;0;0;1;1;0;0;0;0;0;0;1;# 182 - Gold Armor
4300;19;2;121;96;202, 0, 0;0;0;0;1;0;0;0;0;202;0;0;0;1;1;0;0;0;0;0;0;1;# 183 - Shield Armor
5900;19;8;123;97;227, 0, 0;0;0;0;1;0;0;0;0;203;0;0;0;1;1;0;0;0;0;0;0;1;# 184 - Demon’s Mail
8800;19;12;126;98;236, 0, 0;0;0;0;1;0;0;0;0;204;0;0;0;1;1;0;0;0;0;0;0;1;# 185 - Diamond Armor
10500;19;2;128;99;211, 0, 0;0;0;0;1;0;0;0;0;205;0;0;0;1;1;0;0;0;0;0;0;1;# 186 - Platina Armor
12300;19;8;130;100;195, 0, 0;0;0;0;1;0;0;0;0;206;0;0;0;1;1;0;0;0;0;0;0;1;# 187 - Carabini Mail
14000;19;6;135;101;213, 0, 0;0;0;0;1;0;0;0;0;207;0;0;0;0;1;0;0;0;0;0;0;1;# 188 - Dragon Mail
2;19;2;138;102;232, 201, 0;0;0;0;1;0;0;0;0;208;0;0;0;1;1;0;0;0;0;0;0;1;# 189 - Genji Armor
22600;19;6;142;103;198, 0, 0;0;0;0;1;0;0;0;0;209;0;0;0;1;0;0;0;0;0;0;0;1;# 190 - Maximillian
28000;19;6;143;104;219, 244, 0;0;0;0;1;0;0;0;0;210;0;0;0;1;1;0;0;0;0;0;0;1;# 191 - Grand Armor
1500;23;7;153;105;238, 12, 7;0;0;0;0;1;0;0;0;211;1;1;1;1;1;1;1;1;1;1;1;1;# 192 - Desert Boots
7500;23;6;157;106;199, 250, 19;0;0;0;0;1;0;0;0;212;1;1;1;1;1;1;1;1;1;1;1;1;# 193 - Magician Shoes
4000;23;9;153;107;233, 197, 101;0;0;0;0;1;0;0;0;213;1;1;1;1;1;1;1;1;1;1;1;1;# 194 - Germinas Boots
1200;23;5;0;108;0, 0, 0;0;0;0;0;1;0;0;0;214;1;1;1;1;1;1;1;1;1;1;1;1;# 195 - Sandals
6000;23;9;154;109;193, 20, 15;0;0;0;0;1;0;0;0;215;1;1;1;1;1;1;1;1;1;1;1;1;# 196 - Feather Boots
21000;23;10;161;110;204, 234, 198;0;0;0;0;1;0;0;0;216;1;1;1;1;1;1;1;1;1;1;1;1;# 197 - Battle Boots
33000;23;3;158;111;194, 248, 13;0;0;0;0;1;0;0;0;217;1;1;1;1;1;1;1;1;1;1;1;1;# 198 - Running Shoes
3200;33;4;156;112;249, 216, 228;0;0;0;0;1;0;0;0;218;0;0;1;0;1;0;1;1;0;0;0;1;# 199 - Anklet
7000;31;9;160;113;204, 228, 26;0;0;0;0;1;0;0;0;219;1;1;1;1;1;1;1;1;1;1;1;1;# 200 - Power Belt
11000;31;14;159;114;198, 211, 41;0;0;0;0;1;0;0;0;220;1;1;1;1;1;1;1;1;1;1;1;1;# 201 - Black Belt
1600;31;8;156;115;241, 217, 33;0;0;0;0;1;0;0;0;221;1;1;1;1;1;1;1;1;1;1;1;1;# 202 - Glass Buckle
7500;20;10;160;116;232, 219, 239;0;0;0;0;1;0;0;0;222;1;1;1;1;1;1;1;1;1;1;1;1;# 203 - Madain’s Ring
36000;20;1;162;117;235, 225, 223;0;0;0;0;1;0;0;0;223;1;1;1;1;1;1;1;1;1;1;1;1;# 204 - Rosetta Ring
7000;20;14;159;118;192, 202, 16;0;0;0;0;1;0;0;0;224;1;1;1;1;1;1;1;1;1;1;1;1;# 205 - Reflect Ring
4000;20;11;154;119;240, 212, 117;0;0;0;0;1;0;0;0;225;1;1;1;1;1;1;1;1;1;1;1;1;# 206 - Coral Ring
9000;20;2;154;120;244, 247, 224;0;0;0;0;1;0;0;0;226;1;1;1;1;1;1;1;1;1;1;1;1;# 207 - Promist Ring
10000;20;3;160;121;196, 5, 130;0;0;0;0;1;0;0;0;227;1;1;1;1;1;1;1;1;1;1;1;1;# 208 - Rebirth Ring
40000;20;6;163;122;203, 224, 226;0;0;0;0;1;0;0;0;228;1;1;1;1;1;1;1;1;1;1;1;1;# 209 - Protect Ring
2;32;2;159;123;251, 0, 0;0;0;0;0;1;0;0;0;229;1;1;1;1;1;1;1;1;1;1;1;1;# 210 - Pumice Piece
2;32;3;161;124;64, 0, 0;0;0;0;0;1;0;0;0;230;1;1;1;1;1;1;1;1;1;1;1;1;# 211 - Pumice
1800;33;3;159;125;205, 237, 215;0;0;0;0;1;0;0;0;231;1;1;1;1;1;1;1;1;1;1;1;1;# 212 - Yellow Scarf
4000;33;11;159;126;248, 238, 11;0;0;0;0;1;0;0;0;232;1;1;1;1;1;1;1;1;1;1;1;1;# 213 - Gold Choker
6000;35;12;157;127;235, 232, 4;0;0;0;0;1;0;0;0;233;1;1;1;1;1;1;1;1;1;1;1;1;# 214 - Fairy Earrings
20000;35;3;160;128;195, 200, 118;0;0;0;0;1;0;0;0;234;0;0;1;0;1;0;1;0;1;1;1;1;# 215 - Angel Earrings
4000;34;2;155;129;235, 222, 243;0;0;0;0;1;0;0;0;235;0;0;1;0;1;0;1;0;0;0;0;1;# 216 - Pearl Rouge
980;33;2;0;130;0, 0, 0;0;1;0;0;0;0;0;0;106;1;1;1;1;1;1;1;1;1;1;1;1;# 217 - Pearl Armlet
3000;29;8;159;131;242, 236, 5;0;0;0;0;1;0;0;0;236;0;0;1;0;1;0;1;0;0;0;0;1;# 218 - Cachusha
7000;33;1;159;132;219, 218, 2;0;0;0;0;1;0;0;0;237;0;0;1;0;1;0;1;0;0;0;0;1;# 219 - Barette
10000;33;5;160;133;248, 199, 235;0;0;0;0;1;0;0;0;238;0;0;1;0;1;0;1;0;0;0;0;1;# 220 - Extension
2;33;14;160;134;74, 236, 239;0;0;0;0;1;0;0;0;239;1;1;1;1;1;1;1;1;1;1;1;1;# 221 - Ribbon
2;28;3;159;135;195, 0, 0;0;0;0;0;1;0;0;0;240;0;0;1;0;1;0;1;0;0;0;0;1;# 222 - Maiden Prayer
2;28;8;155;136;252, 0, 0;0;0;0;0;1;0;1;0;241;0;0;1;0;1;0;1;0;0;0;0;1;# 223 - Ancient Aroma
2;21;13;0;137;62, 216, 0;0;0;0;0;1;1;1;0;242;1;1;1;1;1;1;1;1;1;1;1;1;# 224 - Garnet
2;21;4;0;138;55, 41, 0;0;0;0;0;1;1;1;0;243;1;1;1;1;1;1;1;1;1;1;1;1;# 225 - Amethyst
2;21;0;0;139;60, 197, 0;0;0;0;0;1;1;1;0;244;1;1;1;1;1;1;1;1;1;1;1;1;# 226 - Aquamarine
2;21;7;0;140;232, 202, 0;0;0;0;0;1;1;1;0;245;1;1;1;1;1;1;1;1;1;1;1;1;# 227 - Diamond
2;21;5;0;141;13, 199, 120;0;0;0;0;1;1;1;0;246;1;1;1;1;1;1;1;1;1;1;1;1;# 228 - Emerald
2;21;12;0;142;11, 211, 0;0;0;0;0;1;1;1;0;247;1;1;1;1;1;1;1;1;1;1;1;1;# 229 - Moonstone
2;21;1;0;143;68, 16, 0;0;0;0;0;1;1;1;0;248;1;1;1;1;1;1;1;1;1;1;1;1;# 230 - Ruby
2;21;6;0;144;53, 34, 0;0;0;0;0;1;1;1;0;249;1;1;1;1;1;1;1;1;1;1;1;1;# 231 - Peridot
2;21;8;0;145;66, 227, 0;0;0;0;0;1;1;1;0;250;1;1;1;1;1;1;1;1;1;1;1;1;# 232 - Sapphire
2;21;2;0;146;49, 30, 0;0;0;0;0;1;1;1;0;251;1;1;1;1;1;1;1;1;1;1;1;1;# 233 - Opal
2;21;3;0;147;51, 26, 0;0;0;0;0;1;1;1;0;252;1;1;1;1;1;1;1;1;1;1;1;1;# 234 - Topaz
2;21;10;0;148;236, 201, 0;0;0;0;0;1;1;1;0;253;1;1;1;1;1;1;1;1;1;1;1;1;# 235 - Lapis Lazuli
50;22;8;0;0;0, 0, 0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;# 236 - Potion
200;22;6;0;0;0, 0, 0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;# 237 - Hi-Potion
2000;22;9;0;0;0, 0, 0;0;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;# 238 - Ether
2;22;2;0;0;0, 0, 0;0;0;0;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;# 239 - Elixir
150;25;9;0;0;0, 0, 0;0;0;0;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;# 240 - Phoenix Down
50;24;10;0;0;0, 0, 0;0;0;0;0;0;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;# 241 - Echo Screen
100;24;11;0;0;0, 0, 0;0;0;0;0;0;1;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;# 242 - Soft
50;24;6;0;0;0, 0, 0;0;0;0;0;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;# 243 - Antidote
50;24;8;0;0;0, 0, 0;0;0;0;0;0;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;# 244 - Eye Drops
100;24;4;0;0;0, 0, 0;0;0;0;0;0;1;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;# 245 - Magic Tag
100;24;0;0;0;0, 0, 0;0;0;0;0;0;1;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;# 246 - Vaccine
300;24;3;0;0;0, 0, 0;0;0;0;0;0;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;# 247 - Remedy
150;24;2;0;0;0, 0, 0;0;0;0;0;0;1;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;# 248 - Annoyntment
2000;25;3;0;0;72, 0, 0;0;0;0;0;1;1;0;0;14;0;0;0;0;0;0;1;0;0;0;0;0;# 249 - Phoenix Pinion
2;30;0;0;156;58, 0, 0;0;0;0;0;1;1;0;0;17;1;1;1;1;1;1;1;1;0;0;0;1;# 250 - Dark Matter
60;27;9;0;0;0, 0, 0;0;0;0;0;0;1;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;# 251 - Gysahl Greens
100;27;1;0;0;0, 0, 0;0;0;0;0;0;1;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;# 252 - Dead Pepper
800;26;9;0;0;0, 0, 0;0;0;0;0;0;1;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;# 253 - Tent
300;21;14;0;0;0, 0, 0;0;0;0;0;0;1;1;0;254;0;0;0;0;0;0;0;0;0;0;0;0;# 254 - Ore
0;0;0;0;0;0, 0, 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;# 255 - open 255
